output,source_index,source_file,note
assets/backgrounds/BG_STUDIO_RECORDING_ROOM_01.png,16,"ChatGPT Image 25 de mai. de 2026, 16_26_01.png",background principal escolhido; duplicatas similares removidas
assets/backgrounds/BG_LIVE_SHOW_THEATER_01.png,3,"ChatGPT Image 25 de mai. de 2026, 16_24_54.png",background principal escolhido; duplicatas similares removidas
assets/backgrounds/BG_LIVE_SHOW_FESTIVAL_DAY_01.png,12,"ChatGPT Image 25 de mai. de 2026, 16_25_46.png",background principal escolhido; duplicatas similares removidas
assets/backgrounds/BG_LIVE_SHOW_STADIUM_01.png,11,"ChatGPT Image 25 de mai. de 2026, 16_25_40.png",background principal escolhido; duplicatas similares removidas
assets/backgrounds/BG_TOUR_BUS_INTERIOR_01.png,10,"ChatGPT Image 25 de mai. de 2026, 16_25_37.png",background principal escolhido; duplicatas similares removidas
assets/backgrounds/BG_HOTEL_ROOM_TOUR_01.png,9,"ChatGPT Image 25 de mai. de 2026, 16_25_33.png",background principal escolhido; duplicatas similares removidas
assets/backgrounds/BG_GARAGE_REHEARSAL_01.png,2,"ChatGPT Image 25 de mai. de 2026, 16_24_50.png",background principal escolhido; duplicatas similares removidas
assets/backgrounds/BG_PRESS_INTERVIEW_ROOM_01.png,1,"ChatGPT Image 25 de mai. de 2026, 16_24_47.png",background principal escolhido; duplicatas similares removidas
assets/backgrounds/BG_WORLD_TOUR_MAP_ROOM_01.png,0,"ChatGPT Image 25 de mai. de 2026, 16_24_40.png",background principal escolhido; duplicatas similares removidas
assets/characters/player/CHR_PLAYER_MALE_01.png,113,ChatGPT_Image_28_de_mai._de_2026__19_31_52-removebg-preview.png,homem pele clara guitarrista
assets/characters/player/CHR_PLAYER_MALE_02.png,111,ChatGPT_Image_28_de_mai._de_2026__19_31_45-removebg-preview.png,homem negro vocalista
assets/characters/player/CHR_PLAYER_MALE_03.png,110,ChatGPT_Image_28_de_mai._de_2026__19_31_38-removebg-preview.png,homem latino/moreno vocalista
assets/characters/player/CHR_PLAYER_MALE_04.png,109,ChatGPT_Image_28_de_mai._de_2026__19_31_35-removebg-preview.png,homem asiático guitarrista
assets/characters/player/CHR_PLAYER_FEMALE_01.png,108,ChatGPT_Image_28_de_mai._de_2026__19_31_26-removebg-preview.png,mulher pele clara vocalista rock
assets/characters/player/CHR_PLAYER_FEMALE_02.png,89,ChatGPT_Image_28_de_mai._de_2026__19_30_05-removebg-preview (1).png,mulher negra soul/pop definitiva
assets/characters/player/CHR_PLAYER_FEMALE_03.png,96,ChatGPT_Image_28_de_mai._de_2026__19_30_31-removebg-preview.png,mulher latina/morena grunge/alternativa
assets/characters/player/CHR_PLAYER_FEMALE_04.png,100,ChatGPT_Image_28_de_mai._de_2026__19_30_55-removebg-preview.png,mulher asiática rock/metal
assets/characters/player/CHR_PLAYER_ANDRO_01.png,99,ChatGPT_Image_28_de_mai._de_2026__19_30_51-removebg-preview.png,andrógino pele clara
assets/characters/player/CHR_PLAYER_ANDRO_02.png,98,ChatGPT_Image_28_de_mai._de_2026__19_30_47-removebg-preview.png,andrógino negro
assets/characters/player/CHR_PLAYER_ANDRO_03.png,95,ChatGPT_Image_28_de_mai._de_2026__19_30_28-removebg-preview.png,andrógino latino/moreno
assets/characters/player/CHR_PLAYER_ANDRO_04.png,93,ChatGPT_Image_28_de_mai._de_2026__19_30_18-removebg-preview.png,andrógino asiático visual kei
assets/characters/recruits/CHR_RECRUIT_VOCALIST_01.png,92,ChatGPT_Image_28_de_mai._de_2026__19_30_14-removebg-preview.png,vocalista masculino soul/pop
assets/characters/recruits/CHR_RECRUIT_VOCALIST_02.png,91,ChatGPT_Image_28_de_mai._de_2026__19_30_10-removebg-preview.png,vocalista feminina soul/pop
assets/characters/recruits/CHR_RECRUIT_GUITARIST_01.png,88,ChatGPT_Image_28_de_mai._de_2026__19_29_59-removebg-preview.png,guitarrista masculino blues/rock clássico
assets/characters/recruits/CHR_RECRUIT_GUITARIST_02.png,87,ChatGPT_Image_28_de_mai._de_2026__19_29_55-removebg-preview.png,guitarrista feminina indie/pop rock
assets/characters/recruits/CHR_RECRUIT_BASSIST_01.png,85,ChatGPT_Image_28_de_mai._de_2026__19_29_51-removebg-preview (1).png,baixista masculino
assets/characters/recruits/CHR_RECRUIT_BASSIST_02.png,84,ChatGPT_Image_28_de_mai._de_2026__19_29_47-removebg-preview.png,baixista feminina
assets/characters/recruits/CHR_RECRUIT_DRUMMER_01.png,75,ChatGPT_Image_28_de_mai._de_2026__19_29_06-removebg-preview.png,baterista masculino gospel/pop session
assets/characters/recruits/CHR_RECRUIT_DRUMMER_02.png,74,ChatGPT_Image_28_de_mai._de_2026__19_29_02-removebg-preview.png,baterista feminina gospel/pop session
assets/characters/recruits/extras/CHR_RECRUIT_DRUMMER_ROCK_01.png,78,ChatGPT_Image_28_de_mai._de_2026__19_29_21-removebg-preview.png,extra: baterista masculino rock
assets/characters/recruits/extras/CHR_RECRUIT_DRUMMER_ROCK_FEMALE_01.png,76,ChatGPT_Image_28_de_mai._de_2026__19_29_15__1_-removebg-preview.png,extra: baterista feminina rock
assets/characters/staff/CHR_STAFF_MANAGER_01.png,72,ChatGPT_Image_28_de_mai._de_2026__19_28_58-removebg-preview (1).png,manager/empresário
assets/characters/staff/CHR_STAFF_PRODUCER_01.png,71,ChatGPT_Image_28_de_mai._de_2026__19_28_54-removebg-preview.png,produtor musical
assets/characters/staff/CHR_STAFF_SOUND_ENGINEER_01.png,70,ChatGPT_Image_28_de_mai._de_2026__19_28_49-removebg-preview.png,engenheiro/técnico de som
assets/characters/staff/CHR_STAFF_ROADIE_01.png,69,ChatGPT_Image_28_de_mai._de_2026__19_28_41-removebg-preview.png,roadie/técnico de palco
assets/characters/staff/CHR_STAFF_SOCIAL_MEDIA_01.png,67,ChatGPT_Image_28_de_mai._de_2026__19_28_37-removebg-preview (1).png,social media/marketing
assets/characters/staff/CHR_STAFF_SECURITY_01.png,66,ChatGPT_Image_28_de_mai._de_2026__19_28_33-removebg-preview.png,segurança/tour manager aproximado
assets/logos/bands/LOGO_BAND_CROWN_01.png,65,ChatGPT_Image_28_de_mai._de_2026__19_28_28-removebg-preview.png,logo coroa limpo
assets/logos/bands/LOGO_BAND_LIGHTNING_01.png,55,ChatGPT_Image_28_de_mai._de_2026__19_27_54__1_-removebg-preview.png,logo raio/energia
assets/logos/bands/LOGO_BAND_SERPENT_01.png,56,ChatGPT_Image_28_de_mai._de_2026__19_27_54__2_-removebg-preview.png,logo serpente/clave
assets/logos/bands/LOGO_BAND_PHOENIX_01.png,57,ChatGPT_Image_28_de_mai._de_2026__19_27_55__3_-removebg-preview.png,logo fênix
assets/logos/bands/optional_rock_only/LOGO_BAND_SKULL_WINGS_01.png,64,ChatGPT_Image_28_de_mai._de_2026__19_28_24-removebg-preview.png,opcional rock/metal somente; não recomendado para gospel
assets/logos/world/LOGO_LABEL_01.png,58,ChatGPT_Image_28_de_mai._de_2026__19_27_55__4_-removebg-preview.png,gravadora fictícia
assets/logos/world/LOGO_FESTIVAL_01.png,59,ChatGPT_Image_28_de_mai._de_2026__19_27_55__5_-removebg-preview.png,festival fictício
assets/characters/faces/FACE_PLAYER_MALE_01.png,crop,assets/characters/player/CHR_PLAYER_MALE_01.png,face recortada automaticamente do avatar original
